"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Floresta","5869.855664741308","5854.989272713984","5729.935844630629","5772.934993339938","5863.392703290451","5874.136403837476","5811.72438030917","5514.193905578408","5443.496342611852","5575.281825406122","5785.395917124489","5806.028920818615","5733.879430706371","5707.428312030979","5726.862096985655","5709.586386100457","5679.535040823883","5733.568972575561","5755.158136827008","5726.252060342929","5710.300794217896","5746.630759116935","5753.048547478083","5716.0198812147755","5687.659569353715","5754.254924167774","5784.5929378820865","5829.15585974832","5870.347491501102","5909.996515338058","5890.254990387129","5832.277545218406","5819.891520518489","5783.356544040887","5834.516808483495","5869.572329174198","5865.531584468448","5879.290640853179"
"1.1. Formação Florestal","5091.949255462054","5084.375641459921","4987.865448387767","5045.0674539574275","5122.766612293597","5144.1849300101","5084.987593746434","4839.633354446696","4783.264652796776","4891.089806075067","5059.129054582417","5074.541516514087","5021.238511091687","5013.881634349864","5031.466722682585","5013.417227050314","4996.4968179126545","5046.402165745519","5054.090115958736","5012.153864813292","4992.953555438054","5007.807093210127","5007.918478931681","4986.649824741008","4965.570036283629","5016.124749574992","5042.040633794317","5075.039591268652","5100.508055460757","5136.4052710701735","5125.3283588877985","5073.9687224300615","5063.5479454535325","5033.259637415943","5064.148795953605","5091.4317992864835","5123.027886643003","5158.8605048798745"
"1.2. Formação Savânica","146.08290365789563","146.08290365789563","149.13186277281366","143.05766210142724","134.7384088214699","135.45303896673357","164.278486101384","164.54644876007538","154.46720275012316","157.4419565248962","164.22767683402114","162.1342990578551","159.63315203026713","144.78352431906174","133.94800397324389","121.26364740586143","119.03048806137907","119.29847482285368","115.99337285141824","130.5126474961215","136.05089637307435","142.9289803879668","139.35595175027166","123.85407813095898","122.29455709695172","125.42420834027364","124.57190884205436","126.04205533844497","137.11855069366942","140.15573034454832","135.8681048135424","134.26023587433352","123.80901760040801","118.66234161333801","131.8825705562087","134.35675345669506","93.36209887941837","71.10917778703293"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","631.8235056213584","624.5307275961678","592.9385334700478","584.8098772810838","605.8876821753842","594.4984348606426","562.4583004613517","510.014102371636","505.76448706495245","526.7500628061587","562.0391857080515","569.3531052466736","553.0077675844165","548.7631533620529","561.4473703298258","574.9055116442817","564.007734849849","567.8683320071888","585.0746480168547","583.5855480335154","581.2963424067675","595.8946855188412","605.7741167961291","605.5159783428078","599.7949759731343","612.705966252509","617.9803952457147","628.0742131412238","632.7208853466767","633.435513923337","629.0585266857877","624.0485869140108","632.5345574645486","631.4345650116054","638.4854419736812","643.7837764310187","649.1415989460271","649.3209581862711"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2. Formação Natural não Florestal","1081.0653135105674","1081.9681499342648","860.915058549444","894.0634808287325","962.4439283202596","905.7424249199291","975.053931840256","988.3696234218612","801.28025114188","832.5782343073984","902.9311638085416","834.7923957388506","933.1058775174197","844.9553981296124","636.821042728387","631.4418661105269","646.2169891359089","651.8906255524022","655.1747677795875","695.4823225139029","697.3302533747387","669.7039533979334","617.1788037844656","611.0477978934209","615.6528698344583","620.6385799111271","641.023414432947","637.9672606917545","641.9623418226528","644.3191546365406","647.9793320791659","645.5469002447373","623.8892375932969","576.4573418666944","617.1735762586873","762.4076581936888","641.939086931846","398.15272230200446"
"2.1. Campo Alagado e Área Pantanosa","139.40031626024407","161.42191254751143","163.68002106428563","149.0411367838779","170.81720006117888","182.22583979370134","138.7494059555947","195.10185927281952","167.7242046976007","177.0921771399882","241.2979009563145","173.27573758836954","192.5648667573576","259.0910244640867","181.8160351393277","198.88884364236253","208.74628145512605","193.10023633698088","191.48673414416712","197.52376653260447","204.04588206818238","221.58431284589005","208.48291877833947","228.45542342601112","225.96717695539868","208.06559735858977","215.27467602771208","194.69184092167893","179.39298938414302","175.56324382197346","167.6264945302925","167.12202095609746","158.9544681033858","161.9722265170226","184.0417333228735","187.20308274682148","187.2371074375047","141.0787914938767"
"2.2. Formação Campestre","941.6649972503233","920.5462373867533","697.2350374851584","745.0223440448545","791.6267282590807","723.5165851262278","836.3045258846613","793.2677641490417","633.5560464442792","655.4860571674102","661.6332628522271","661.516658150481","740.541010760062","585.8643736655257","455.0050075890593","432.5530224681644","437.4707076807828","458.79038921542127","463.6880336354203","497.9585559812984","493.2843713065563","448.1196405520434","408.69588500612605","382.59237446740985","389.6856928790597","412.5729825525373","425.7487384052349","443.27541977007553","462.5693524385097","468.75591081456713","480.3528375488734","478.4248792886399","464.9347694899111","414.4851153496718","433.1318429358138","575.2045754468674","454.7019794943413","257.0739308081278"
"2.3. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.4. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.5. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2.6. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3. Agropecuária","976.9355878797758","966.3101221642995","1313.8060274043737","1213.6383442287927","1079.9141862974634","1117.3990616234964","1081.5988792318976","1424.2846252908855","1629.473007207957","1485.5756848359893","1212.368295214405","1257.6038705566552","1268.4820302311064","1371.3616944654243","1555.7163157315704","1642.03432219439","1676.6588486210533","1601.8798154898382","1576.6079908258412","1570.987004804951","1601.112437423328","1582.7949611470265","1608.339642016581","1671.3344547421104","1694.1610526694565","1617.3686294192269","1570.0057727415267","1534.5549028078678","1488.424924622701","1438.1934345617724","1457.1643054823357","1523.952072744078","1557.3263006220634","1640.4440505194802","1551.5160356672845","1370.3979315638678","1503.384150974855","1736.0068233681868"
"3.1. Pastagem","976.9355878797758","966.3101221642995","1313.8060274043737","1213.6383442287927","1079.9141862974634","1117.3990616234964","1081.5988792318976","1424.2846252908855","1629.473007207957","1485.5756848359893","1212.368295214405","1257.6038705566552","1268.4820302311064","1371.3616944654243","1555.7163157315704","1642.03432219439","1676.6588486210533","1601.8798154898382","1576.6079908258412","1570.987004804951","1596.8986866853052","1575.4547500696483","1570.408232871815","1583.2342405211348","1609.4470982634127","1591.1209090101","1552.0394716325059","1497.9751152086078","1424.889198659662","1363.8947240025707","1379.8621092812598","1439.5540225888813","1462.966476371049","1504.8297737488388","1423.0945200591113","1320.873581558482","1447.4902709524513","1683.8646469773748"
"3.2. Agricultura","","","","","","","","","","","","","","","","","","","","","4.213750738022751","7.340211077378219","37.93140914476598","88.10021422097563","84.71395440604371","26.24772040912703","17.96630110902075","36.57978759926006","63.53572596303899","74.29871055920162","77.30219620107592","84.39805015519664","94.3598242510143","135.61427677064154","128.4215156081731","49.5243500053858","55.89388002240371","52.142176390812025"
"3.2.1. Lavoura Temporária","","","","","","","","","","","","","","","","","","","","","4.213750738022751","7.340211077378219","37.93140914476598","88.10021422097563","84.71395440604371","26.24772040912703","17.96630110902075","36.57978759926006","63.53572596303899","74.29871055920162","77.30219620107592","84.39805015519664","94.3598242510143","135.61427677064154","128.4215156081731","49.5243500053858","55.89388002240371","52.142176390812025"
"3.2.1.1. Soja","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.2. Cana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.3. Arroz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.4. Algodão (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.1.5. Outras Lavouras Temporárias","","","","","","","","","","","","","","","","","","","","","4.213750738022751","7.340211077378219","37.93140914476598","88.10021422097563","84.71395440604371","26.24772040912703","17.96630110902075","36.57978759926006","63.53572596303899","74.29871055920162","77.30219620107592","84.39805015519664","94.3598242510143","135.61427677064154","128.4215156081731","49.5243500053858","55.89388002240371","52.142176390812025"
"3.2.2. Lavoura Perene","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.1. Café","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.2. Citrus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.3. Dendê (beta)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.2.2.4. Outras Lavouras Perenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.3. Silvicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3.4. Mosaico de Usos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4. Área não Vegetada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.1. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.2. Área Urbanizada","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.3. Mineração","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4.4. Outras Áreas não Vegetadas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5. Corpo D`água","956.5860271435292","981.1750484626391","979.7856626906531","1003.8057748777","978.6917753670075","987.1647028942941","1016.0654018938762","957.5944389840657","1010.1929923135342","991.0068487257862","983.7472171277414","986.0174061610408","948.9752548201955","960.6971886490916","965.0431378295441","901.3800188697357","882.031714694328","897.1031796573266","897.5016978427417","891.7212056133284","875.6991082591857","885.3129196132587","905.8755999960356","886.0404594248639","886.9691014175773","892.180459777004","888.8204682185211","882.7645700271978","883.7078353286861","891.93348873876","889.0439653265095","882.6660750678394","883.3355345412613","884.1846568481029","881.2361728656198","882.0646743433157","873.5877708999727","870.9924067518076"
"5.1. Rio, Lago e Oceano","956.5860271435292","981.1750484626391","979.7856626906531","1003.8057748777","978.6917753670075","987.1647028942941","1016.0654018938762","957.5944389840657","1010.1929923135342","991.0068487257862","983.7472171277414","986.0174061610408","948.9752548201955","960.6971886490916","965.0431378295441","901.3800188697357","882.031714694328","897.1031796573266","897.5016978427417","891.7212056133284","875.6991082591857","885.3129196132587","905.8755999960356","886.0404594248639","886.9691014175773","892.180459777004","888.8204682185211","882.7645700271978","883.7078353286861","891.93348873876","889.0439653265095","882.6660750678394","883.3355345412613","884.1846568481029","881.2361728656198","882.0646743433157","873.5877708999727","870.9924067518076"
"5.2. Aquicultura","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6. Não observado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""