"","1. Floresta (2022)","1.1. Formação Florestal (2022)","1.2. Formação Savânica (2022)","1.4. Floresta Alagável (2022)","2. Formação Natural não Florestal (2022)","2.1. Campo Alagado e Área Pantanosa (2022)","2.2. Formação Campestre (2022)","2.4. Afloramento Rochoso (2022)","3. Agropecuária (2022)","3.1. Pastagem (2022)","3.2. Agricultura (2022)","3.2.1. Lavoura Temporária (2022)","3.2.1.5. Outras Lavouras Temporárias (2022)","5. Corpo D`água (2022)","5.1. Rio, Lago e Oceano (2022)","Total (2022)"
"1. Floresta (1985)","959329.6859831989","","","","17.292565114985454","","","","4602.879686803419","","","","","43.73448031922584","","963993.5927154366"
"1.1. Formação Florestal (1985)","","958555.14070352","2.0345986999511716","","","","14.02089547387217","","","4428.558042119581","163.35595570068355","163.35595570068355","163.35595570068355","","43.73448031922584","963533.556587235"
"1.2. Formação Savânica (1985)","","","270.2200423123707","","","","1.5910182373046877","","","10.965688983154292","","","","","","282.7767495328297"
"1.4. Floresta Alagável (1985)","","","","502.2906386665372","","1.1498155395507814","0.5308358642578125","","","","","","","","","503.9712900703458"
"2. Formação Natural não Florestal (1985)","21.509865293255977","","","","6991.352399877235","","","","523.2071149514109","","","","","67.27799424438477","","7603.347374366287"
"2.1. Campo Alagado e Área Pantanosa (1985)","","13.376273917523552","1.415161920166016","","","937.9552168553023","358.5832499882474","","","3.185157385253907","","","","","66.74635722045899","1381.261417286952"
"2.2. Formação Campestre (1985)","","5.48077401123047","1.2376554443359375","","","44.38583418555166","5223.67170425585","","","497.40540084096835","22.616556725188616","22.616556725188616","22.616556725188616","","0.5316370239257813","5840.562675937428"
"2.4. Afloramento Rochoso (1985)","","","","","","","","426.75639459228375","","","","","","","","426.75639459228375"
"3. Agropecuária (1985)","2225.4031970829324","","","","5.035597283935549","","","","381.3965960661772","","","","","","","2611.835390433045"
"3.1. Pastagem (1985)","","2216.3875887150125","9.015608367919924","","","","5.035597283935549","","","381.3965960661772","","","","","","2611.835390433045"
"5. Corpo D`água (1985)","195.71348771891292","","","","100.79952459396058","","","","5.850115570068359","","","","","7983.591072462916","","8285.954200345857"
"5.1. Rio, Lago e Oceano (1985)","","194.5613833732098","","1.152104345703125","","18.521897210693343","82.27762738326724","","","5.850115570068359","","","","","7983.591072462916","8285.954200345857"
"Total (1985)","961772.3125332941","960984.946723537","283.9230667447438","503.4427430122403","7114.480086870117","1002.0127637910981","5685.710928486735","426.75639459228375","5513.333513391075","5327.361000965203","185.97251242587217","185.97251242587217","185.97251242587217","8094.603547026526","8094.603547026526","1965361.4043860154"