rio,estacao,data,cota_atual,data_da_minima,cota_minima,relacao_cota_atual,data_ano,cota_periodo,relacao_cota_atual_ano,codigo
Negro,S.I.N.Tapuruquara (Negro),2024-08-02,665,1980-03-13,28,637,1980-08-02,627,38,14400000
Negro,Barcelos (Negro),2024-07-26,754,1980-03-18,58,696,1980-07-26,713,41,14480002
Purus,Beruri (Purus),2024-07-26,1688,2023-10-25,397,1291,2023-07-26,1942,-254,13990000
Branco,Boa Vista (Branco),2024-07-26,741,2016-02-14,-56.5,797.5,2016-07-26,661,80,14620000
Branco,Caracaraí (Branco),2024-07-26,822,1998-03-24,-10,832,1998-07-26,490,332,14710000
P. Careiro,Careiro (P. Careiro),2024-07-26,1324,2023-10-28,17,1307,2023-07-26,1482,-158,15040000
Solimões,Fonte Boa (Solimões),2024-07-26,1566,2010-10-22,802,764,2010-07-26,1584,-18,12351000
Madeira,Humaitá (Madeira),2024-07-26,1061,2023-10-01,810,251,2023-07-26,1286,-225,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-26,1101,2023-10-24,36,1065,2023-07-26,1248,-147,16030000
Solimões,Itapeuá (Solimões),2024-07-26,1245,2010-10-20,131,1114,2010-07-26,1340,-95,13150000
Solimões,Manacapuru (Solimões),2024-07-26,1614,2023-10-26,311,1303,2023-07-26,1804,-190,14100000
Negro,Manaus (Negro),2024-07-26,2557,2023-10-26,1270,1287,2023-07-26,2711,-154,14990000
Amazonas,Parintins (Amazonas),2024-07-25,596,2023-10-24,-217,813,2023-07-25,714,-118,16350002
Acre,Rio Branco (Acre),2024-07-26,151,2022-10-02,124,27,2022-07-26,185,-34,13600002
Negro,S. G. C. (Negro),2024-07-26,1017,1992-02-07,330,687,1992-07-26,950,67,14320001
Solimões,Tabatinga (Solimões),2024-07-26,450,2010-10-11,-86,536,2010-07-26,572,-122,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-26,692,1980-03-13,28,664,1980-07-26,632,60,14400000
Negro,Barcelos (Negro),2024-07-18,783,1980-03-18,58,725,1980-07-18,745,38,14480002
Purus,Beruri (Purus),2024-07-18,1772,2023-10-25,397,1375,2023-07-18,1995,-223,13990000
Branco,Boa Vista (Branco),2024-07-18,601,2016-02-14,-56.5,657.5,2016-07-18,462,139,14620000
Branco,Caracaraí (Branco),2024-07-18,648,1998-03-24,-10,658,1998-07-18,650,-2,14710000
P. Careiro,Careiro (P. Careiro),2024-07-18,1392,2023-10-28,17,1375,2023-07-18,1522,-130,15040000
Solimões,Fonte Boa (Solimões),2024-07-18,1651,2010-10-22,802,849,2010-07-18,1660,-9,12351000
Madeira,Humaitá (Madeira),2024-07-17,1102,2023-10-01,810,292,2023-07-17,1334,-232,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-18,1148,2023-10-24,36,1112,2023-07-18,1288,-140,16030000
Solimões,Itapeuá (Solimões),2024-07-18,1328,2010-10-20,131,1197,2010-07-18,1420,-92,13150000
Solimões,Manacapuru (Solimões),2024-07-18,1677,2023-10-26,311,1366,2023-07-18,1846,-169,14100000
Negro,Manaus (Negro),2024-07-18,2614,2023-10-26,1270,1344,2023-07-18,2746,-132,14990000
Amazonas,Parintins (Amazonas),2024-07-17,630,2023-10-24,-217,847,2023-07-17,747,-117,16350002
Acre,Rio Branco (Acre),2024-07-18,164,2022-10-02,124,40,2022-07-18,189,-25,13600002
Negro,S. G. C. (Negro),2024-07-18,1048,1992-02-07,330,718,1992-07-18,950,98,14320001
Solimões,Tabatinga (Solimões),2024-07-18,528,2010-10-11,-86,614,2010-07-18,505,23,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-18,711,1980-03-13,28,683,1980-07-18,660,51,14400000
Negro,Barcelos (Negro),2024-07-12,811,1980-03-18,58,753,1980-07-12,779,32,14480002
Purus,Beruri (Purus),2024-07-12,1807,2023-10-25,397,1410,2023-07-12,2018,-211,13990000
Branco,Boa Vista (Branco),2024-07-12,480,2016-02-14,-56.5,536.5,2016-07-12,574,-94,14620000
Branco,Caracaraí (Branco),2024-07-12,618,1998-03-24,-10,628,1998-07-12,719,-101,14710000
P. Careiro,Careiro (P. Careiro),2024-07-12,1412,2023-10-28,17,1395,2023-07-12,1544,-132,15040000
Solimões,Fonte Boa (Solimões),2024-07-12,1703,2010-10-22,802,901,2010-07-12,1743,-40,12351000
Madeira,Humaitá (Madeira),2024-07-10,1208,2023-10-01,810,398,2023-07-10,1426,-218,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-12,1176,2023-10-24,36,1140,2023-07-12,1309,-133,16030000
Solimões,Itapeuá (Solimões),2024-07-11,1386,2010-10-20,131,1255,2010-07-11,1476,-90,13150000
Solimões,Manacapuru (Solimões),2024-07-12,1713,2023-10-26,311,1402,2023-07-12,1871,-158,14100000
Negro,Manaus (Negro),2024-07-12,2645,2023-10-26,1270,1375,2023-07-12,2768,-123,14990000
Amazonas,Parintins (Amazonas),2024-07-11,651,2023-10-24,-217,868,2023-07-11,767,-116,16350002
Acre,Rio Branco (Acre),2024-07-12,175,2022-10-02,124,51,2022-07-12,201,-26,13600002
Negro,S. G. C. (Negro),2024-07-12,1046,1992-02-07,330,716,1992-07-12,926,120,14320001
Solimões,Tabatinga (Solimões),2024-07-12,584,2010-10-11,-86,670,2010-07-12,562,22,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-12,705,1980-03-13,28,677,1980-07-12,684,21,14400000
Negro,Barcelos (Negro),2024-07-05,834,1980-03-18,58,776,1980-07-05,801,33,14480002
Purus,Beruri (Purus),2024-07-05,1844,2023-10-25,397,1447,2023-07-05,2039,-195,13990000
Branco,Boa Vista (Branco),2024-07-05,669,2016-02-14,-56.5,725.5,2016-07-05,587,82,14620000
Branco,Caracaraí (Branco),2024-07-05,813,1998-03-24,-10,823,1998-07-05,702,111,14710000
P. Careiro,Careiro (P. Careiro),2024-07-05,1439,2023-10-28,17,1422,2023-07-05,1567,-128,15040000
Solimões,Fonte Boa (Solimões),2024-07-05,1780,2010-10-22,802,978,2010-07-05,1839,-59,12351000
Madeira,Humaitá (Madeira),2024-07-05,1213,2023-10-01,810,403,2023-07-05,1430,-217,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-05,1202,2023-10-24,36,1166,2023-07-05,1333,-131,16030000
Solimões,Itapeuá (Solimões),2024-06-28,1454,2010-10-20,131,1323,2010-06-28,1537,-83,13150000
Solimões,Manacapuru (Solimões),2024-07-05,1742,2023-10-26,311,1431,2023-07-05,1892,-150,14100000
Negro,Manaus (Negro),2024-07-05,2670,2023-10-26,1270,1400,2023-07-05,2793,-123,14990000
Amazonas,Parintins (Amazonas),2024-06-30,676,2023-10-24,-217,893,2023-06-30,790,-114,16350002
Acre,Rio Branco (Acre),2024-07-05,177,2022-10-02,124,53,2022-07-05,215,-38,13600002
Negro,S. G. C. (Negro),2024-07-05,1054,1992-02-07,330,724,1992-07-05,961,93,14320001
Solimões,Tabatinga (Solimões),2024-07-05,632,2010-10-11,-86,718,2010-07-05,699,-67,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-28,764,1980-03-13,28,736,1980-06-28,756,8,14400000
Negro,Barcelos (Negro),2024-06-28,834,1980-03-18,58,776,1980-06-28,791,43,14480002
Purus,Beruri (Purus),2024-06-28,1870,2023-10-25,397,1473,2023-06-28,2056,-186,13990000
Branco,Boa Vista (Branco),2024-06-28,693,2016-02-14,-56.5,749.5,2016-06-28,584,109,14620000
Branco,Caracaraí (Branco),2024-06-28,788,1998-03-24,-10,798,1998-06-28,643,145,14710000
P. Careiro,Careiro (P. Careiro),2024-06-28,1451,2023-10-28,17,1434,2023-06-28,1583,-132,15040000
Solimões,Fonte Boa (Solimões),2024-06-28,1847,2010-10-22,802,1045,2010-06-28,1943,-96,12351000
Madeira,Humaitá (Madeira),2024-06-26,1416,2023-10-01,810,606,2023-06-26,1612,-196,15630000
Amazonas,Itacoatiara (Amazonas),2024-06-28,1214,2023-10-24,36,1178,2023-06-28,1352,-138,16030000
Solimões,Itapeuá (Solimões),2024-06-28,1454,2010-10-20,131,1323,2010-06-28,1537,-83,13150000
Solimões,Manacapuru (Solimões),2024-06-28,1759,2023-10-26,311,1448,2023-06-28,1908,-149,14100000
Negro,Manaus (Negro),2024-06-28,2682,2023-10-26,1270,1412,2023-06-28,2810,-128,14990000
Amazonas,Parintins (Amazonas),2024-06-20,692,2023-10-24,-217,909,2023-06-20,810,-118,16350002
Acre,Rio Branco (Acre),2024-06-28,179,2022-10-02,124,55,2022-06-28,254,-75,13600002
Negro,S. G. C. (Negro),2024-06-28,1094,1992-02-07,330,764,1992-06-28,918,176,14320001
Solimões,Tabatinga (Solimões),2024-06-28,670,2010-10-11,-86,756,2010-06-28,783,-113,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-28,764,1980-03-13,28,736,1980-06-28,756,8,14400000
Negro,Barcelos (Negro),2024-06-21,821,1980-03-18,58,763,1980-06-21,769,52,14480002
Purus,Beruri (Purus),2024-06-21,1883,2023-10-25,397,1486,2023-06-21,2065,-182,13990000
Branco,Boa Vista (Branco),2024-06-21,647,2016-02-14,-56.5,703.5,2016-06-21,514,133,14620000
Branco,Caracaraí (Branco),2024-06-21,779,1998-03-24,-10,789,1998-06-21,726,53,14710000
P. Careiro,Careiro (P. Careiro),2024-06-21,1457,2023-10-28,17,1440,2023-06-21,1596,-139,15040000
Solimões,Fonte Boa (Solimões),2024-06-21,1933,2010-10-22,802,1131,2010-06-21,1996,-63,12351000
Madeira,Humaitá (Madeira),2024-06-17,1320,2023-10-01,810,510,2023-06-17,1639,-319,15630000
Amazonas,Itacoatiara (Amazonas),2024-06-21,1224,2023-10-24,36,1188,2023-06-21,1366,-142,16030000
Solimões,Itapeuá (Solimões),2024-06-21,1472,2010-10-20,131,1341,2010-06-21,1549,-77,13150000
Solimões,Manacapuru (Solimões),2024-06-21,1767,2023-10-26,311,1456,2023-06-21,1918,-151,14100000
Negro,Manaus (Negro),2024-06-21,2685,2023-10-26,1270,1415,2023-06-21,2824,-139,14990000
Amazonas,Parintins (Amazonas),2024-06-20,692,2023-10-24,-217,909,2023-06-20,810,-118,16350002
Acre,Rio Branco (Acre),2024-06-21,188,2022-10-02,124,64,2022-06-21,324,-136,13600002
Negro,S. G. C. (Negro),2024-06-21,1073,1992-02-07,330,743,1992-06-21,870,203,14320001
Solimões,Tabatinga (Solimões),2024-06-21,679,2010-10-11,-86,765,2010-06-21,876,-197,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-21,744,1980-03-13,28,716,1980-06-21,744,0,14400000
Negro,Barcelos (Negro),2024-06-14,785,1980-03-18,58,727,1980-06-14,732,53,14480002
Purus,Beruri (Purus),2024-06-14,1887,2023-10-25,397,1490,2023-06-14,2064,-177,13990000
Branco,Boa Vista (Branco),2024-06-14,695,2016-02-14,-565,7515,2016-06-14,304,391,14620000
Branco,Caracaraí (Branco),2024-06-14,791,1998-03-24,-10,801,1998-06-14,690,101,14710000
P. Careiro,Careiro (P. Careiro),2024-06-13,1451,2023-10-28,17,1434,2023-06-13,1600,-149,15040000
Solimões,Fonte Boa (Solimões),2024-06-14,1985,2010-10-22,802,1183,2010-06-14,2019,-34,12351000
Madeira,Humaitá (Madeira),2024-06-14,1359,2023-10-01,810,549,2023-06-14,1689,-330,15630000
Amazonas,Itacoatiara (Amazonas),2024-06-14,1234,2023-10-24,36,1198,2023-06-14,1374,-140,16030000
Solimões,Itapeuá (Solimões),2024-06-14,1476,2010-10-20,131,1345,2010-06-14,1552,-76,13150000
Solimões,Manacapuru (Solimões),2024-06-14,1764,2023-10-26,311,1453,2023-06-14,1920,-156,14100000
Negro,Manaus (Negro),2024-06-14,2683,2023-10-26,1270,1413,2023-06-14,2830,-147,14990000
Amazonas,Parintins (Amazonas),2024-06-14,704,2023-10-24,-217,921,2023-06-14,816,-112,16350002
Acre,Rio Branco (Acre),2024-06-14,200,2022-10-02,124,76,2022-06-14,722,-522,13600002
Negro,S. G. C. (Negro),2024-06-14,1045,1992-02-07,330,715,1992-06-14,858,187,14320001
Solimões,Tabatinga (Solimões),2024-06-14,843,2010-10-11,-86,929,2010-06-14,950,-107,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-14,741,1980-03-13,28,713,1980-06-14,729,12,14400000
Negro,Barcelos (Negro),2024-06-07,742,1980-03-18,58,684,1980-06-07,696,46,14480002
Purus,Beruri (Purus),2024-06-07,1880,2023-10-25,397,1483,2023-06-07,2038,-158,13990000
Branco,Boa Vista (Branco),2024-06-07,662,2016-02-14,-565,7185,2016-06-07,374,288,14620000
Branco,Caracaraí (Branco),2024-06-07,759,1998-03-24,-10,769,1998-06-07,617,142,14710000
P. Careiro,Careiro (P. Careiro),2024-06-07,1439,2023-10-28,17,1422,2023-06-07,1597,-158,15040000
Solimões,Fonte Boa (Solimões),2024-06-07,2002,2010-10-22,802,1200,2010-06-07,2033,-31,12351000
Madeira,Humaitá (Madeira),2024-06-07,1387,2023-10-01,810,577,2023-06-07,1830,-443,15630000
Amazonas,Itacoatiara (Amazonas),2024-06-07,1231,2023-10-24,36,1195,2023-06-07,1376,-145,16030000
Solimões,Itapeuá (Solimões),2024-06-07,1465,2010-10-20,131,1334,2010-06-07,1548,-83,13150000
Solimões,Manacapuru (Solimões),2024-06-07,1755,2023-10-26,311,1444,2023-06-07,1907,-152,14100000
Negro,Manaus (Negro),2024-06-07,2666,2023-10-26,1270,1396,2023-06-07,2825,-159,14990000
Amazonas,Parintins (Amazonas),2024-06-07,706,2023-10-24,-217,923,2023-06-07,821,-115,16350002
Acre,Rio Branco (Acre),2024-06-05,235,2022-10-02,124,111,2022-06-05,300,-65,13600002
Negro,S. G. C. (Negro),2024-06-05,1027,1992-02-07,330,697,1992-06-04,887,140,14320001
Solimões,Tabatinga (Solimões),2024-06-06,954,2010-10-11,-86,1040,2010-06-06,1013,-59,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-07,707,1980-03-13,28,679,1980-06-07,690,17,14400000
Negro,Barcelos (Negro),2024-05-31,685,1980-03-18,58,627,1980-05-31,659,26,14480002
Purus,Beruri (Purus),2024-05-31,1871,2023-10-25,397,1474,2023-05-31,2028,-157,13990000
Branco,Boa Vista (Branco),2024-05-31,497,2016-02-14,-56.5,553.5,2016-05-31,212,285,14620000
Branco,Caracaraí (Branco),2024-05-31,567,1998-03-24,-10,577,1998-05-31,500,67,14710000
P. Careiro,Careiro (P. Careiro),2024-05-31,1419,2023-10-28,17,1402,2023-05-31,1583,-164,15040000
Solimões,Fonte Boa (Solimões),2024-05-31,2000,2010-10-22,802,1198,2010-05-31,2035,-35,12351000
Madeira,Humaitá (Madeira),2024-05-31,1517,2023-10-01,810,707,2023-05-31,1879,-362,15630000
Amazonas,Itacoatiara (Amazonas),2024-05-31,1222,2023-10-24,36,1186,2023-05-31,1376,-154,16030000
Solimões,Itapeuá (Solimões),2024-05-31,1454,2010-10-20,131,1323,2010-05-31,1539,-85,13150000
Solimões,Manacapuru (Solimões),2024-05-31,1739,2023-10-26,311,1428,2023-05-31,1897,-158,14100000
Negro,Manaus (Negro),2024-05-31,2644,2023-10-26,1270,1374,2023-05-31,2812,-168,14990000
Amazonas,Parintins (Amazonas),2024-05-31,709,2023-10-24,-217,926,2023-05-31,824,-115,16350002
Acre,Rio Branco (Acre),2024-05-24,355,2022-10-02,124,231,2022-05-24,445,-90,13600002
Negro,S. G. C. (Negro),2024-05-24,1036,1992-02-07,330,706,1992-05-31,916,120,14320001
Solimões,Tabatinga (Solimões),2024-05-31,1009,2010-10-11,-86,1095,2010-05-31,1047,-38,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-05-30,693,1980-03-13,28,665,1980-05-30,689,4,14400000
Negro,Barcelos (Negro),2024-05-24,610,1980-03-18,58,552,1980-05-24,612,-2,14480002
Purus,Beruri (Purus),2024-05-24,1859,2023-10-25,397,1462,2023-05-24,2015,-156,13990000
Branco,Boa Vista (Branco),2024-05-24,555,2016-02-14,-56.5,611.5,2016-05-24,196,359,14620000
Branco,Caracaraí (Branco),2024-05-24,664,1998-03-24,-10,674,1998-05-24,588,76,14710000
P. Careiro,Careiro (P. Careiro),2024-05-24,1399,2023-10-28,17,1382,2023-05-24,1571,-172,15040000
Solimões,Fonte Boa (Solimões),2024-05-24,1996,2010-10-22,802,1194,2010-05-24,2036,-40,12351000
Madeira,Humaitá (Madeira),2024-05-24,1725,2023-10-01,810,915,2023-05-24,1941,-216,15630000
Amazonas,Itacoatiara (Amazonas),2024-05-24,1209,2023-10-24,36,1173,2023-05-24,1373,-164,16030000
Solimões,Itapeuá (Solimões),2024-05-24,1443,2010-10-20,131,1312,2010-05-24,1523,-80,13150000
Solimões,Manacapuru (Solimões),2024-05-24,1723,2023-10-26,311,1412,2023-05-24,1883,-160,14100000
Negro,Manaus (Negro),2024-05-24,2618,2023-10-26,1270,1348,2023-05-24,2794,-176,14990000
Amazonas,Parintins (Amazonas),2024-05-24,698,2023-10-24,-217,915,2023-05-24,829,-131,16350002
Acre,Rio Branco (Acre),2024-05-24,355,2022-10-02,124,231,2022-05-24,445,-90,13600002
Negro,S. G. C. (Negro),2024-05-24,920,1992-02-07,330,590,1992-05-17,785,135,14320001
Solimões,Tabatinga (Solimões),2024-05-24,1025,2010-10-11,-86,1111,2010-05-24,1093,-68,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-05-24,627,1980-03-13,28,599,1980-05-24,681,-54,14400000
Negro,Barcelos (Negro),2024-05-17,552,1980-03-18,58,494,1980-05-17,550,2,14480002
Purus,Beruri (Purus),2024-05-17,1846,2023-10-25,397,1449,2023-05-17,1996,-150,13990000
Branco,Boa Vista (Branco),2024-05-17,415,2016-02-14,-56.5,471.5,2016-05-17,328,87,14620000
Branco,Caracaraí (Branco),2024-05-17,586,1998-03-24,-10,596,1998-05-17,352,234,14710000
P. Careiro,Careiro (P. Careiro),2024-05-17,1374,2023-10-28,17,1357,2023-05-17,1552,-178,15040000
Solimões,Fonte Boa (Solimões),2024-05-17,1989,2010-10-22,802,1187,2010-05-17,2037,-48,12351000
Madeira,Humaitá (Madeira),2024-05-17,1734,2023-10-01,810,924,2023-05-17,2098,-364,15630000
Amazonas,Itacoatiara (Amazonas),2024-05-17,1202,2023-10-24,36,1166,2023-05-17,1363,-161,16030000
Solimões,Itapeuá (Solimões),2024-05-17,1433,2010-10-20,131,1302,2010-05-17,1511,-78,13150000
Solimões,Manacapuru (Solimões),2024-05-17,1703,2023-10-26,311,1392,2023-05-17,1864,-161,14100000
Negro,Manaus (Negro),2024-05-17,2589,2023-10-26,1270,1319,2023-05-17,2772,-183,14990000
Amazonas,Parintins (Amazonas),2024-05-12,685,2023-10-24,-217,902,2023-05-12,818,-133,16350002
Acre,Rio Branco (Acre),2024-05-17,291,2022-10-02,124,167,2022-05-17,356,-65,13600002
Negro,S. G. C. (Negro),2024-05-17,920,1992-02-07,330,590,1992-05-17,785,135,14320001
Solimões,Tabatinga (Solimões),2024-05-17,1023,2010-10-11,-86,1109,2010-05-17,1110,-87,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-05-17,575,1980-03-13,28,547,1980-05-17,663,-88,14400000
Negro,Barcelos (Negro),2024-05-10,505,1980-03-18,58,447,1980-05-10,456,49,14480002
Purus,Beruri (Purus),2024-05-10,1830,2023-10-25,397,1433,2023-05-10,1970,-140,13990000
Branco,Boa Vista (Branco),2024-05-10,361,2016-02-14,-56.5,417.5,2016-05-10,265,96,14620000
Branco,Caracaraí (Branco),2024-05-10,386,1998-03-24,-10,396,1998-05-10,317,69,14710000
P. Careiro,Careiro (P. Careiro),2024-05-10,1356,2023-10-28,17,1339,2023-05-10,1531,-175,15040000
Solimões,Fonte Boa (Solimões),2024-05-10,1986,2010-10-22,802,1184,2010-05-10,2039,-53,12351000
Madeira,Humaitá (Madeira),2024-05-09,1800,2023-10-01,810,990,2023-05-09,2087,-287,15630000
Amazonas,Itacoatiara (Amazonas),2024-05-10,1192,2023-10-24,36,1156,2023-05-10,1350,-158,16030000
Solimões,Itapeuá (Solimões),2024-05-10,1421,2010-10-20,131,1290,2010-05-10,1493,-72,13150000
Solimões,Manacapuru (Solimões),2024-05-10,1684,2023-10-26,311,1373,2023-05-10,1841,-157,14100000
Negro,Manaus (Negro),2024-05-10,2570,2023-10-26,1270,1300,2023-05-10,2749,-179,14990000
Amazonas,Parintins (Amazonas),2024-05-02,668,2023-10-24,-217,885,2023-05-02,803,-135,16350002
Acre,Rio Branco (Acre),2024-05-10,389,2022-10-02,124,265,2022-05-10,399,-10,13600002
Negro,S. G. C. (Negro),2024-05-10,862,1992-02-07,330,532,1992-05-10,758,104,14320001
Solimões,Tabatinga (Solimões),2024-05-10,1009,2010-10-11,-86,1095,2010-05-10,1110,-101,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-05-10,508,1980-03-13,28,480,1980-05-10,602,-94,14400000
Negro,Barcelos (Negro),2024-05-03,479,1980-03-18,58,421,1980-05-03,384,95,14480002
Purus,Beruri (Purus),2024-05-03,1807,2023-10-25,397,1410,2023-05-03,1939,-132,13990000
Branco,Boa Vista (Branco),2024-05-03,214,2016-02-14,-56.5,270.5,2016-05-03,283,-69,14620000
Branco,Caracaraí (Branco),2024-05-03,239,1998-03-24,-10,249,1998-05-03,258,-19,14710000
P. Careiro,Careiro (P. Careiro),2024-05-02,1329,2023-10-28,17,1312,2023-05-02,1497,-168,15040000
Solimões,Fonte Boa (Solimões),2024-05-03,1986,2010-10-22,802,1184,2010-05-03,2027,-41,12351000
Madeira,Humaitá (Madeira),2024-05-03,1893,2023-10-01,810,1083,2023-05-03,2212,-319,15630000
Amazonas,Itacoatiara (Amazonas),2024-05-03,1179,2023-10-24,36,1143,2023-05-03,1334,-155,16030000
Solimões,Itapeuá (Solimões),2024-05-03,1410,2010-10-20,131,1279,2010-05-03,1464,-54,13150000
Solimões,Manacapuru (Solimões),2024-05-03,1665,2023-10-26,311,1354,2023-05-03,1812,-147,14100000
Negro,Manaus (Negro),2024-05-03,2546,2023-10-26,1270,1276,2023-05-03,2719,-173,14990000
Amazonas,Parintins (Amazonas),2024-05-02,668,2023-10-24,-217,885,2023-05-02,803,-135,16350002
Acre,Rio Branco (Acre),2024-05-03,456,2022-10-02,124,332,2022-05-03,382,74,13600002
Negro,S. G. C. (Negro),2024-05-03,831,1992-02-07,330,501,1992-05-03,768,63,14320001
Solimões,Tabatinga (Solimões),2024-05-03,1024,2010-10-11,-86,1110,2010-05-03,1114,-90,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-05-03,476,1980-03-13,28,448,1980-05-03,471,5,14400000
Negro,Barcelos (Negro),2024-04-26,447,1980-03-18,58,389,1980-04-26,318,129,14480002
Purus,Beruri (Purus),2024-04-26,1783,2023-10-25,397,1386,2023-04-26,1912,-129,13990000
Branco,Boa Vista (Branco),2024-04-26,61,2016-02-14,-56.5,117.5,2016-04-26,93,-32,14620000
Branco,Caracaraí (Branco),2024-04-26,98,1998-03-24,-10,108,1998-04-26,80,18,14710000
P. Careiro,Careiro (P. Careiro),2024-04-25,1298,2023-10-28,17,1281,2023-04-25,1473,-175,15040000
Solimões,Fonte Boa (Solimões),2024-04-26,1987,2010-10-22,802,1185,2010-04-26,2005,-18,12351000
Madeira,Humaitá (Madeira),2024-04-26,1985,2023-10-01,810,1175,2023-04-26,2248,-263,15630000
Amazonas,Itacoatiara (Amazonas),2024-04-26,1156,2023-10-24,36,1120,2023-04-26,1316,-160,16030000
Solimões,Itapeuá (Solimões),2024-04-26,1399,2010-10-20,131,1268,2010-04-26,1416,-17,13150000
Solimões,Manacapuru (Solimões),2024-04-26,1639,2023-10-26,311,1328,2023-04-26,1786,-147,14100000
Negro,Manaus (Negro),2024-04-26,2517,2023-10-26,1270,1247,2023-04-26,2693,-176,14990000
Amazonas,Parintins (Amazonas),2024-04-23,630,2023-10-24,-217,847,2023-04-23,784,-154,16350002
Acre,Rio Branco (Acre),2024-04-25,536,2022-10-02,124,412,2022-04-25,448,88,13600002
Negro,S. G. C. (Negro),2024-04-25,810,1992-02-07,330,480,1992-04-26,718,92,14320001
Solimões,Tabatinga (Solimões),2024-04-26,1009,2010-10-11,-86,1095,2010-04-26,1126,-117,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-04-26,460,1980-03-13,28,432,1980-04-26,356,104,14400000
Negro,Barcelos (Negro),2024-04-19,428,1980-03-18,58,370,1980-04-19,358,70,14480002
Purus,Beruri (Purus),2024-04-19,1746,2023-10-25,397,1349,2023-04-19,1890,-144,13990000
Branco,Boa Vista (Branco),2024-04-19,-12,2016-02-14,-56.5,44.5,2016-04-19,21,-33,14620000
Branco,Caracaraí (Branco),2024-04-19,59,1998-03-24,-10,69,1998-04-19,152,-93,14710000
P. Careiro,Careiro (P. Careiro),2024-04-18,1254,2023-10-28,17,1237,2023-04-18,1444,-190,15040000
Solimões,Fonte Boa (Solimões),2024-04-19,1984,2010-10-22,802,1182,2010-04-19,1970,14,12351000
Madeira,Humaitá (Madeira),2024-04-19,2014,2023-10-01,810,1204,2023-04-19,2286,-272,15630000
Amazonas,Itacoatiara (Amazonas),2024-04-19,1120,2023-10-24,36,1084,2023-04-19,1292,-172,16030000
Solimões,Itapeuá (Solimões),2024-04-19,1380,2010-10-20,131,1249,2010-04-19,1377,3,13150000
Solimões,Manacapuru (Solimões),2024-04-19,1599,2023-10-26,311,1288,2023-04-19,1757,-158,14100000
Negro,Manaus (Negro),2024-04-19,2472,2023-10-26,1270,1202,2023-04-19,2662,-190,14990000
Amazonas,Parintins (Amazonas),2024-04-19,614,2023-10-24,-217,831,2023-04-19,784,-170,16350002
Acre,Rio Branco (Acre),2024-04-19,580,2022-10-02,124,456,2022-04-19,755,-175,13600002
Negro,S. G. C. (Negro),2024-04-19,771,1992-02-07,330,441,1992-04-19,729,42,14320001
