"crude oil, Brazil",Value,Year,Units
"Imports",859856,2000,TJ
"Imports",903074,2001,TJ
"Imports",825673,2002,TJ
"Imports",742170,2003,TJ
"Imports",972008,2004,TJ
"Imports",739949,2005,TJ
"Imports",722844,2006,TJ
"Imports",900782,2007,TJ
"Imports",824337,2008,TJ
"Imports",810004,2009,TJ
"Imports",732537,2010,TJ
"Imports",717572,2011,TJ
"Imports",745881,2012,TJ
"Imports",852935,2013,TJ
"Imports",757074,2014,TJ
"Imports",643777,2015,TJ
"Imports",335319,2016,TJ
"Imports",313631,2017,TJ
"Imports",403069,2018,TJ
"Imports",372010,2019,TJ
"Imports",363598,2020,TJ
"Imports",303417,2021,TJ
"Imports",532705,2022,TJ
"Imports",490745,2023,TJ
"Exports",-40320,2000,TJ
"Exports",-239450,2001,TJ
"Exports",-507926,2002,TJ
"Exports",-523648,2003,TJ
"Exports",-497684,2004,TJ
"Exports",-591848,2005,TJ
"Exports",-794932,2006,TJ
"Exports",-913245,2007,TJ
"Exports",-936679,2008,TJ
"Exports",-1135369,2009,TJ
"Exports",-1365481,2010,TJ
"Exports",-1307158,2011,TJ
"Exports",-1153292,2012,TJ
"Exports",-858734,2013,TJ
"Exports",-1122073,2014,TJ
"Exports",-1593067,2015,TJ
"Exports",-1834307,2016,TJ
"Exports",-2255898,2017,TJ
"Exports",-2333157,2018,TJ
"Exports",-2658916,2019,TJ
"Exports",-2967791,2020,TJ
"Exports",-2709776,2021,TJ
"Exports",-2913135,2022,TJ
"Exports",-3468388,2023,TJ